experiment,character,method,est_sigma
s20c4,k10_,sigma15_spalin,0.844989046147458
s20c4,k10_,sigma3_spalin,1.590166917092666
s20c4,k10_,sigma05_spalin_spatialonly,0.370991418773332
s20c4,k10_,sigma15_spalin_spatialonly,0.848704133521462
s20c4,k10_,sigma3_spalin_spatialonly,2.328634732264778
s20c4,k50_,sigma05_spalin,0.4732710363283947
s20c4,k50_,sigma15_spalin,1.135623580277767
s20c4,k50_,sigma3_spalin,2.055520980135215
s20c4,k200_,sigma05_spalin,0.499058989881955
s20c4,k200_,sigma15_spalin,1.162533656015158
s20c4,k200_,sigma3_spalin,2.15169992742426
s4c10,k10_,sigma05_spalin,0.4297889128280098
s4c10,k10_,sigma15_spalin,0.974400081640006
s4c10,k10_,sigma3_spalin,2.152516346057404
s4c10,k10_,sigma05_spalin_spatialonly,0.34221209586507
s4c10,k10_,sigma15_spalin_spatialonly,0.70295667952995
s4c10,k10_,sigma3_spalin_spatialonly,2.38383866613931
s4c10,k50_,sigma05_spalin,0.4148546319601074
s4c10,k50_,sigma15_spalin,0.977165577714817
s4c10,k50_,sigma3_spalin,2.259880385047966
s4c10,k200_,sigma05_spalin,0.4381025053763397
s4c10,k200_,sigma15_spalin,0.98205914513781
